,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover
139,"UFC Fight Night was a mixed martial arts event held in Sweden.
At UFC Fight Night, Sadollah was scheduled to fight Musoke.
Sadollah fought Akiyama at UFC Fight Night.
Musoke fought Yakovlev at UFC Fight Night.
Jung was injured at UFC Fight Night.
People injured at UFC Fight Night did not fight.","Jung fought Sadollah.
Jung did not fight at UFC Fight Night.
Sadollah fought Musoke at UFC Fight Night.
Nelson fought Story at UFC Fight Night.","U
T
U
U","Event(uFCFightNight) ∧ MixedMartial(uFCFightNight) ∧ HeldIn(uFCFightNight, sweden)
ScheduledToFight(sadollah, musoke,uFCFightNight)
Fight(sadollah, akiyama, uFCFightNight)
Fight(musoke, yakovlev, uFCFightNight)
InjuredAt(jung, uFCFightNight)
∀x (InjuredAt(x, uFCFightNight) → ¬FightIn(x, uFCFightNight))","Fight(jung, sadollah, uFCFightNight)
Event(uFCFightNight) ∧ ¬FightIn(jung, uFCFightNight)
Fight(sadollah, musoke, uFCFightNight)
Fight(nelson, story, uFCFightNight)",,
140,"The winner of the 1992 du Maurier Classic was Steinhauer.
Steinhauer participated in the 1992 du Maurier Classic.
One six-way tie was on the leaderboard, and one person in the six-way tie was from Belgium.
Descampe is from Belgium and is on the leaderboard of the 1992 du Maurier Classic.
All people on the leaderboard of the 1992 du Maurier Classic participated in the 1992 du Maurier Classic.","Steinhauer was not the winner of the 1992 du Maurier Classic.
Descampe is in the six-way tie in the leaderboard of the 1992 du Maurier Classic.","F
U","WinnerOf(steinhauer, duMaurierClassic, year1992)
Participate(duMaurierClassic, steinhauer, year1992)
∃x ∃y (OnLeaderBoardOf(x, duMaurierClassic) ∧ SixWayTie(x)) ∧ In(y, sixWayTie) ∧ Belgium(y))
From(descampe, belgium) ∧ OnLeaderBoardOf(descampe, duMaurierClassic)
∀x (LeaderBoard(maurier, x) → Participate(maurier, x))","¬WinnerOf(steinhauer, duMaurierClassic, year1992)
SixWayTie(descampe)",,
141,"TS Leda was a good passenger and cargo vessel.
TS Leda was a Norwegian vessel that was built with stabilizers.
Stabilizers are mechanical devices found only on ships with powerful steam turbine engines.
To be a good passenger and cargo vessel, ships must be quiet and good at sea.
Some ships that are quiet and good at sea have powerful steam turbine engines.
Vessels are ships.","TS Leda was quiet and good at sea.
TS Leda had powerful steam turbine engines.
TS Leda was not a Norwegian vessel.","T
T
F","∀x (TSLeda(x) → ((Passenger(x) ∧ Vessel(x)) ∧ (Cargo(x) ∧ Vessel(x)))
∀x (TSLeda(x) → (Norweigian(x) ∧ Vessel(x) ∧ Stabilizers(x)))
∀x (Stabilizers(x) → MechanicalDevice(x) ∧ OnlyOnShips(x) ∧ PowerfulSteamTurbine(x))
∀x ((Passenger(x) ∧ Vessel(x)) ∧ (Cargo(x) ∧ Vessel(x)) → (Quiet(x) ∧ GoodAt(x, sea)))
∃x (Quiet(x) ∧ GoodAt(x, sea) ∧ PowerfulSteamTurbine(x))
∀x (Ship(x) → Vessel(x))","∀x (TSLeda(x) → Quiet(x) ∧ GoodAt(x, sea))
∀x (TSLeda(x) → PowerfulSteamTurbine(x))
∀x (TSLeda(x) → ¬(Norweigian(x) ∧ Vessel(x)))",,
142,"Ann J. Land was a member of the Philadelphia City Council and the Democratic Party.
Ann J. Land ran unopposed for the Philadelphia City Council in 1980.
People who run unopposed for the Philadelphia City Council are elected to the positions they run for in the same year.
Michael Nutter was a political challenger.
Ann J. Land defeated Michael Nutter and ran for the Philadelphia City Council in 1987.","Ann J. Land was elected to the Philadelphia City Council in 1980.
Ann J. Land was elected to the Philadelphia City Council in 1987.
There was some member of the Democratic Party elected to the Philadelphia City Council in 1980.","T
U
T","MemberOf(annJLand, philadelphiaCityCouncil) ∧ MemberOf(annJLand, democraticParty)
RunUnopposedFor(ann, philadelphiaCityCouncil, year1980)
∀x ∀y (RunUnopposedFor(x, philadelphiaCityCouncil, y) → ElectedTo(x, philadelphiaCityCouncil, y))
PoliticalChallenger(michaelNutter)
Defeat(annJLand, michaelNutter) ∧ RunFor(annJLand, philadelphiaCityCouncil, year1987)","ElectedTo(ann, philadelphiaCityCouncil, year1980)
ElectedTo(ann, philadelphiaCityCouncil, year1987)
∃x (MemberOf(x, democraticParty) ∧ ElectedTo(x, philadelphiaCouncil, year1980))",,
143,"Video Gag is a French television series that airs weekly.
Video Gag airs on the French broadcast channel TF1. 
If viewers send funny videos to the French broadcast channel TF1, then Video Gag airs them weekly.
All videos aired on Video Gag are in French.","Viewers send funny videos to the French broadcast channel TF1 that are in French.
Viewers send funny videos to the French broadcast channel that are in English.","U
U","FrenchTelevision(videoGag) ∧ AirWeekly(videoGag)
AirOn(videoGag, frenchBroadcastChannelTF1)
∀x (Funny(x) ∧ Video(x) ∧ SendIn(viewers, x, frenchBroadcastChannelTF1)  → AirWeekly(x) ) ∧ AirOn(videoGag, x))
∀x (Video(x) ∧ AirOn(videoGag, x) → In(x, french))","∃x (SendIn(viewers, x, frenchBroadcastChannelTF1) ∧ French(x))
∃x (SendIn(viewers, x, frenchBroadcastChannelTF1) ∧ English(x))",,
144,"Taste of Edmonton is an annual outdoor festival held in Alberta.
The festival went on hiatus in 2020.
If a festival goes on hiatus in a certain year, it does not run for that year.
Taste of Edmonton is the largest food and entertainment festival in Western Canada.","Some festival that is the largest food and entertainment festival in Western Canada did not run in the year 2020.
Some outdoor festivals did not run in the year 2020.
Taste of Edmonton went on hiatus in 2021.","T
T
U","Annual(tasteOfEdmonton) ∧ OutdoorFestival(tasteOfEdmonton) ∧ HeldIn(tasteOfEdmonton, alberta)
GoOnHiatus(tasteOfEdmonton, year2020)
∀x ∀y (GoOnHiatus(x, y) → ¬Run(x, y))
LargestFoodAndEntertainmentFestival(tasteOfEdmonton) ∧ HeldIn(tasteOfEdmonton, westernCanada)","∃x (LargestFoodAndEntertainmentFestival(x) ∧ HeldIn(x, westernCanada(x) ∧ ¬Run(x, year2020))
∃x (OutdoorFestival(x) ∧ ¬Run(x, year2020))
GoOnHiatus(tasteOfEdmonton, year2021)",,
145,"Tangent Online is an online magazine launched on the web in 1997.
The first issue of Tangent Online was a print issue launched in 1993.
Tangent Online is an online magazine that covers reviews of science fiction and fantasy short fiction.
Tangent Online also provides classic interviews, articles, and editorials.","Tangent Online is not an online magazine.
Tangent Online is a print magazine.
There is an online magazine that was launched on the web in 1997 that covers reviews of science fiction.","F
U
U","OnlineMagazine(tangentOnline) ∧ Web(tangentOnline) ∧ LaunchedIn(tangentOnline, 1997)
PrintIssue(firstIssueTangentOnline) ∧ LaunchedIn(firstIssueTangentOnline, 1993)
∃x (OnlineMagazine(tangentOnline) ∧ Covers(tangentOnline, x) ∧ Review(x) ∧ (AboutScienceFiction(x) ∨ AboutFantasyShortFiction(x)))
∃x (Covers(tangentOnline, x) ∧ (Interview(x) ∨ Article(x) ∨ Editorial(x)))","¬OnlineMagazie(tangentOnline)
PrintMagazine(tangentOnline)
∃x ∃y (OnlineMagazine(x) ∧ Web(x) ∧ LaunchedIn(1997) ∧ Covers(x, y) ∧ Review(y))",,
146,"Catullus 4 is a poem written by the ancient Roman writer Catullus.
Catullus 4 is a story about the retirement of a well-traveled ship.
There is a strong analogy of human aging in the poem Catullus 4.
Catullus 4 is written in an unusual iambic trimeter to convey a sense of speed over the waves.","There is a poem written by an ancient Roman writer with a strong analogy of human aging.
There is a poem written by an ancient Roman writer in iambic trimeter.
Callus 4 is written in an unusual iambic trimeter to convey a strong analogy of human aging.","T
U
T","Poem(catullus4) ∧ WrittenBy(catullus4, catullus) ∧ AncientRomanWriter(catullus)
Story(catullus4) ∧ About(catullus4, retirementOfAWellTraveledShip)
Poem(catullus4) ∧ StrongAgingAnalogy(catullus4)
Poem(catullus4) ∧ WrittenIn(catullus4, iambicTrimeter) ∧ Convey(catullus4, aSenseOfSpeedOverTheWaves)","∃x ∃y (Poem(x) ∧ WrittenBy(x, y) ∧ AncietRomanWriter(y) ∧ StrongAgingAnalogy(x))
∃x ∃y (Poem(x) ∧ WrittenBy(x, y) ∧ AncientRomanWriter(y) ∧ WrittenIn(x, iambicTrimeter))
Poem(catullus4) ∧ WrittenIn(catullus4, iambicTrimeter) ∧ StrongAgingAnalogy(catullus4)",,
147,"Vic DiCara plays guitar and bass.
The only style of music Vic DiCara plays is punk music.
Vic DiCara played in the band Inside Out.","Inside Out was a punk band.
A musician from Inside Out plays bass.","U
T","Play(vicDicara, guitar) ∧ Play(vicDicara, bass)
∀x (Music(vicDicara, x) → ¬(x=punk)))
Band(vicDicara, insideOut)","Music(insideOut, punk)
∃x (Band(x, insideOut) ∧ Play(x, bass))",,
148,"Boney M. had several German #1 singles.
""Hooray! Hooray! It's a Holi-Holiday!"" was a big hit all over Europe.
""Hooray! Hooray! It's a Holi-Holiday!"" was not in German #1 singles.
A song that peaks below #1 on the german charts is also a song that is not the #1 single in Germany.","""Hooray! Hooray! It's a Holi-Holiday!"" was the #1 hit in Germany.
""Hooray! Hooray! It's a Holi-Holiday!"" peaked below #1 on the German charts.
""Hooray! Hooray! It's a Holi-Holiday!"" peaked at #3 on the UK charts.","F
T
U","∃x (Song(x) ∧ By(x, boneym,) ∧ Number1GermanSingle(x))
Song(hoorayHoorayItsAHoliHoliday) ∧ HitAllOverEurope(hoorayHoorayItsAHoliHoliday)
Song(hoorayHoorayItsAHoliHoliday) ∧ ¬Number1GermanSingle(hoorayHoorayItsAHoliHoliday)
∀x (PeakBelowOn(x, number1, germanChart) → ¬Number1GermanSingle(x))","Song(hoorayHoorayItsAHoliHoliday) ∧ Number1GermanSingle(hoorayHoorayItsAHoliHoliday)
PeaksBelowOn(hoorayHoorayItsAHoliHoliday, number1, germanChart)
PeaksAtOn(hoorayHoorayItsAHoliHoliday, number3, germanChart)",,
149,"
Guam sent an athlete to the Calgary Winter Olympics.
If Guan sent an athlete to the Calgary Winter Olympics, then the athelete participated in the Olympics in 1988.
Judd Bankert is the only athlete from Guam who has ever competed in the Winter Olympics.","Judd Bankert competed in the 1988 Winter Olympics.    
Guam has participated in the Summer Olympics at least once. ","T
U","
∃x (Send(guam, athlete, calgaryWinterOlympics))
∀x (Athlete(x) ∧ SendTo(guam, x, calgaryWinterOlympics) → ParticipatedIn(x, winterOlympics, year1988))
∀x ∀y (Athlete(x) ∧ From(x, guam) ∧ ParticipatedIn(x, winterOlympics, y) → x=juddBankert)","ParticipatedIn(juddBankert, winterOlympics, year1988)
∃x (ParticipatedIn(guam, summerOlympics, x))",,
150,"The movie ""Riel"" was made in Canada.
In ""Riel,"" Christopher Plummer appeared as Canada's first prime minister, John A. Macdonald.
""Riel"" was filmed in or before 1979.
If a mvie was filmed in or before a year, then the movie was not filmed after the year.","""Riel"" was filmed after 1979.
Alexander Mackenzie was Canada's second prime minister.   ","F
U","Movie(riel) ∧ MadeIn(riel, canada)
AppearAs(plummer, macdonald, riel) ∧ CanadiansFirstPrimeMinister(johnAMacdonald)
FilmedInOrBefore(riel, year1979)
∀x ∀y (FilmedInOrBefore(x, y) → ¬FilmedAfter(x, y))","FilmedAfter(riel, year1979)
CanadiansSecondPrimeMinester(alexanderMackenzie)",,
151,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in place B and place B is located in place C, then place A is located in place C.","Barutin Cove is named after all islands in Antarctica.
There is at least one cove in Antarctica named after a place in Bulgaria. 
Barutin Cove is not located in Antarctica.","U
T
F","Cove(barutinCove) ∧ NamedAfter(barutinCove, barutinSettlement) ∧ LocatedIn(barutinSettlement, bulgaria)
LocatedIn(barutinCove, snowIsland)
LocatedIn(snowIsland, southShetlandIslands) ∧ LocatedIn(greenwichIsland, southShetlandIslands) ∧ LocatedIn(deceptionIsland, southShetlandIslands)
LocatedIn(southShetlandIslands, antarctica)
∀x ∀y ∀z ((LocatedIn(x, y) ∧ LocatedIn(y, z)) → LocatedIn(x, z))","∀x (LocatedIn(x, antarctica) → NamedAfter(barutinCove, x))
∃x ∃y (Cove(x) ∧ LocatedIn(x, antarctica) ∧ NameAfter(x, y) ∧ LocatedIn(y, bulgaria))
¬LocatedIn(barutinCove, antarctica)",,
152,"Susan flies to LGA airport.
The departure and arrival can not be at the same airport.
John flies from LGA airport.","Susan flies from LGA airport.
John flies to LGA airport.","F
F","FlyTo(susan, lgaAirport)
∀x ∀y (FlyFrom(x, y) ⊕ FlyTo(x, y))
FlyFrom(john, lgaAirport)","FlyFrom(susan, lgaAirport)
FlyTo(john, lgaAirport)",,
153,"A laptop is a computer.
You can play games on a computer.
A phone is not a computer.","You can play games on a laptop.
You can not play games on a phone.","T
U","∀x (Laptop(x) → Computer(x))
∀x (Computer(x) → CanPlayGameOn(x))
∀x (Phone(x) → ¬Computer(x))","∀x (Laptop(x) → CanPlayGameOn(x))
∀x (Phone(x) → ¬CanPlayGameOn(x))",,
154,"A plane goes faster than a car.
A car goes faster than walking.
Riding bikes is faster than walking.","A plane goes faster than riding a bike.
A plane goes faster than walking.","U
U","∀x ∀y (Plane(x) ∧ Car(y) → Faster(x, y))
∀x ∀y (Car(x) ∧ Walking(y) → Faster(x, y))
∀x ∀y (RidingBike(x) ∧ Walking(y) → Faster(x, y))","∀x ∀y (Plane(x) ∧ RidingBike(y) → Faster(x, y))
∀x ∀y (Plane(x) ∧ Walking(y) → Faster(x, y))",,
155,"No man can run faster than Bolt. 
Superman is not a man.",Superman can run faster than Bolt.,U,"∀x (Man(x) → ¬RunFasterThan(xm bolt))
¬Man(superman)","RunFasterThan(superman, bolt) ",,
156,"A boat floats on water.
There are bricks on the boat.",Bricks float on water.,U,"FloatOn(boat, water)
∃x (Brick(x) ∧ On(x, boat))","∀x (Brick(x) ∧ FloatOn(x, water))",,
157,"The party provides five kinds of fruits: strawberry, orange, blueberry, grape, and cherry.
If the fruit had the lowest remaining weight at the end of the party, then it means it was the most popular fruit.
At the end of the party, strawberries had the lowest remaining weight.
At the end of the party, the number of leftover blueberries was lower than that of cherries.
Benjamin only ate oranges and grapes at the party.","Blueberries were the most popular fruit at the party.
Cherries were the most popular fruit at the party.
Benjamin ate blueberries at the party.","U
U
F","Provide(party, strawberry) ∧ Provide(party, orange) ∧ Provide(party, blueberry) ∧ Provide(party, grape) ∧ Provide(party, cherry) 
∀x (LowestWeightRemainingAt(x, endOfParty) → MostPopular(x)) 
LowestWeightRemainingAt(strawberries, endOfParty)
LowerWeightAt(blueberry, cherry, endOfParty)
Eat(benjamin, orange) ∧ Eat(benjamin, grape) ∧ ¬Eat(benjamin, blueberry) ∧ ¬Eat(benjamin, cherry) ∧ ¬Eat(benjamin, strawberry)","MostPopular(blueberry)
MostPopular(cherry)
Eat(blueberry, benjamin)",,
158,"Mr. and Mrs. Smith make a travel plan: they want to go to a city in California or Florida where neither of them has ever been.
The cities in California that they are interested in are San Francisco, Los Angeles, and San Diego.
Cities in Florida that they are interested in are Orlando and Miami.
Mr. Smith has been to two cities in California.
Mrs. Smith has been to one city in Florida.","Mr. Smith has been to San Francisco.
They have at leat one candidate city in Florida to visit.
They have at least two candidate cities in California to visit.","U
U
U","∀x (WantToGoTo(mr.AndMrs.Smith, x) ∧ City(x) → (California(x) ∨ Florida(x)) ∧ NeverGo(x))
City(sanFrancisco) ∧ California(sanFrancisco) ∧ WantToGoTo(mr.AndMrs.Smith, sanFrancisco) ∧ City(losAngeles) ∧ California(losAngeles) ∧ WantToGoTo(mr.AndMrs.Smith, losAngeles) ∧ City(sanDiego) ∧ California(sanDiego) ∧ WantToGoTo(mr.AndMrs.Smith, sanDiego)
City(orlando) ∧ Florida(orlando) ∧ WantToGo(mr.AndMrs.Smith, orlando) ∧ City(miami) ∧ Florida(miami) ∧ WantToGo(mr.AndMrs.Smith, miami)
∃x ∃y ∀z (¬(x=z) ∧ ¬(y=z) ∧ ¬(x=y) ∧ City(x) ∧ City(y) ∧ City(z) ∧ California(x) ∧ California(y) ∧ California(z) → Visit(mr.smith, x) ∧ Visit(mr.smith, y) ∧ ¬Visit(mr.smith, z))
∃x ∀y (¬(x=y) ∧ City(x) ∧ City(y) ∧ Florida(x) ∧ Florida(y) → Visit(mrs.smith, x) ∧ ¬Visit(mrs.smith, y))","∃x (City(x) ∧ Visit(mr.smith, sanFrancisco))
∃x (WantToGoTo(x) ∧ City(x) ∧ Florida(x))
∃x ∃y (¬(x=y) ∧ City(x) ∧ City(y) ∧ WantToGoTo(mr.AndMrs.Smith, x) ∧ California(x) ∧ WantToGoTo(mr.AndMrs.Smith, y) ∧ California(y))",,
159,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.","James's favorite season is summer.
Mia's favorite season is spring.","T
U","Season(spring) ∨ Season(summer) ∨ Season(fall) ∨ Season(winter) ∧ (Season(spring) → ¬Season(summer) ∧ ¬Season(fall) ∧ ¬Season(winter)) ∧ (Season(summer) → ¬Season(spring) ∧ ¬Season(fall) ∧ ¬Season(winter)) ∧ (Season(fall) → ¬Season(spring) ∧ ¬Season(summer) ∧ ¬Season(winter)) ∧ (Season(winter) → ¬Season(spring) ∧ ¬Season(summer) ∧ ¬Season(fall))
∀x (Want(x, longvacation) → Favorite(x, summer))
Favorite(emma, summer)
∀x ∀y (Season(x) ∧ Season(y) ∧ Favorite(mia, x) ∧ Favorite(emma, y) → ¬(x=y))
Want(james, longVacation)","Favorite(james, summer)
Favorite(mia, spring)",,
160,"Common utilities include water, electricity, gas, heating, sewer, trash, and recycling.
Many apartment rents cover the cost of water and electricity.
Susan lives in an apartment where the rent covers all utilities.
The rent of the apartment where Ava lives does not cover any utility expenses.
Noah lives in an apartment where the rent does not cover heating.","Noah needs to pay the water bill.
Noah and Ava both need to pay the heating bill.
Susan does not need to pay the water bill.","U
T
T","CommonUtilities(water) ∧ CommonUtilities(electricity) ∧ CommonUtilities(gas) ∧ CommonUtilities(heating)
∃x (Apartment(x) ∧ Cover(x, water) ∧ Cover(x, electricity))
∀x (Apartment(x) ∧ LiveIn(susan, x) ∧ Cover(x, water) ∧ Cover(x, electricity) ∧ Cover(x, gas) ∧ Cover(x, heating))
∀x (Apartment(x) ∧ LiveIn(ava, x) ∧ ¬Cover(x, water) ∧ ¬Cover(x, electricity) ∧ ¬Cover(x, gas) ∧ ¬Cover(x, heating))
∀x (Apartment(x) ∧ LiveIn(noah, x) ∧ ¬Cover(x, heating))","∀x (Apartment(x) ∧ LiveIn(noah, x) ∧ ¬Cover(x, water))
¬Cover(noah, heating) ∧ ¬Cover(ava, heating)
∀x (Apartment(x) ∧ LiveIn(susan, x) ∧ Cover(x, water))",,
161,"There are five grades in English class: A+, A, B+, B, and C. 
If a student gets an A+ in English class, then his score is greater than 95.
If a student gets an A in English class, then his score is greater than 90 but lower than 95.
Zhang got an A in English class.
Wang's English class score is better than Zhang's.
Wu's English class score is lower than 90.
If a student's English class score is lower than 90, then it is not greater than 95 or 90, and lower than 95.","Zhang's English class score is lower than 95.
Wang got an A+ in English class.
Wu does not get an A or A+ in English class.","T
U
T","GradeIn(aPlus, englishClass) ∨ GradeIn(a, englishClass) ∨ GradeIn(bPlus, englishClass) ∨ GradeIn(b, englishClass) ∨ GradeIn(c, englishClass) ∧ (GradeIn(aPlus, englishClass) → ¬GradeIn(a, englishClass) ∧ ¬GradeIn(bPlus, englishClass) ∧ ¬GradeIn(b, englishClass) ∧ ¬GradeIn(c, englishClass)) ∧ (GradeIn(a, englishClass) → ¬GradeIn(aPlus, englishClass) ∧ ¬GradeIn(bPlus, englishClass) ∧ ¬GradeIn(b, englishClass) ∧ ¬GradeIn(c, englishClass)) ∧ (GradeIn(bPlus, englishClass) → ¬GradeIn(aPlus, englishClass) ∧ ¬GradeIn(a, englishClass) ∧ ¬GradeIn(b, englishClass) ∧ ¬GradeIn(c, englishClass)) ∧ (GradeIn(b, englishClass) → ¬GradeIn(aPlus, englishClass) ∧ ¬GradeIn(a, englishClass) ∧ ¬GradeIn(bPlus, englishClass) ∧ ¬GradeIn(c, englishClass)) ∧ (GradeIn(c, englishClass) → ¬GradeIn(aPlus, englishClass) ∧ ¬GradeIn(a, englishClass) ∧ ¬GradeIn(bPlus, englishClass) ∧ ¬GradeIn(b, englishClass)) 
∀x ∀y (Student(x) ∧ GetGradeIn(x, aPlus, englishClass) → EnglishClassScore(x, y) ∧ GreaterThan95(y))
∀x ∀y (Student(x) ∧ GetGradeIn(x, a, englishClass) → EnglishClassScore(x, y) ∧ GreaterThan90(y) ∧ LowerThan95(y)) 
Student(zhang) ∧ GetGradeIn(zhang, a, englishClass)
∀x ∀y (Student(zhang) ∧ Student(wang) ∧ EnglishScore(zhang, x) ∧ EnglishScore(wang, y) ∧ Better(y, x))
∀x (Student(wu) ∧ EnglishScore(wu, x) ∧ LowerThan90(x))
∀x ∀y (Student(x) ∧ EnglishScore(x, y) ∧ LowerThan90(y) → ¬GreaterThan95(y) ∧ ¬GreaterThan90(y) ∧ LowerThan95(y))","∀x (EnglishScore(zhang, x) ∧ LowerThan95(x))
GetGradeIn(wang, aPlus, englishClass)
¬GetGradeIn(wu, aPlus, englishClass) ∧¬GetGradeIn(wu, a, englishClass)",,
162,"If a person plays an instrument in a concert, they are good at playing this kind of instrument.
Peter plays piano, violin, and saxophone.
Peter plays piano in a concert.
Oliver and Peter both play instruments in a concert.
Oliver plays a different musical instrument from Peter in the concert.","Oliver plays piano in the concert.
Oliver plays violin in the concert.
Peter is good at playing piano.","F
U
T","∀x ∀y (PlayIn(y, x, concert) → GoodAtPlaying(y, x))
Play(peter, piano) ∧ Play(peter, violin) ∧ Play(peter, saxophone)
PlayIn(peter, piano, concert)
∃x ∃y (PlayIn(peter, x, concert) ∧ PlayIn(oliver, y, concert))
∀x (PlayIn(oliver, x, concert) → ¬PlayIn(peter, y, concert))","PlayIn(oliver, piano, concert)
PlayIn(oliver, violin, concert)
GoodAtPlaying(peter, piano)",,
163,"There are eight federal districts of Russia: Central, Northwestern, Southern, North Caucasian, Volga, Ural, Siberian, and Far Eastern.
The Central federal district has the largest population among all federal districts in Russia.
Moscow is the administrative center of the Central federal district.
Yekaterinburg is the administrative center of the Ural federal district.
Vladivostok is the administrative center of the Far Eastern federal district.
The Far Eastern federal district has the largest area among all federal districts in Russia.
Some federal districts in Russia were established in 2000.","Vladivostok is the administrative center of the federal district with the largest area.
Moscow is the administrative center of the federal district with the largest population.
The Northwestern federal district was established in 2000.","T
T
U","FederalDistrictOf(central, russia) ∧ FederalDistrictOf(northwestern, russia) ∧ FederalDistrictOf(southern, russia) ∧ FederalDistrictOf(northcaucasian, russia) ∧ FederalDistrictOf(volga, russia) ∧ FederalDistrictOf(ural, russia) ∧ FederalDistrictOf(siberian, russia) ∧ FederalDistrictOf(fareastern, russia)
LargestPopulation(central) 
AdministrativeCenterOf(moscow, central)
AdministrativeCenterOf(yekaterinburg, ural)
AdministrativeCenterOf(vladivostok, farEastern)
LargestArea(farEastern)
∃x (FederalDistrictOf(x, russia) ∧ EstablishedIn(x, 2000))","∃x (AdministrativeCenterOf(vladivostok, x) ∧ LargestArea(x))
∃x (AdministrativeCenterOf(moscow, x) ∧ LargestPopulationIn(x))
EstablishedIn(northwestern, 2000)",,
164,"Reading, Listening, Writing, and Speaking are all parts of the IELTS exam.
The IELTS exam can be taken on paper or on a computer.
If you do the Speaking part, you will do a face-to-face interview.
If you take the IELTS exam on a computer, you will do the Reading, Listening, and Writing parts using a computer. 
If you take the IELTS exam, you will complete the Reading, Listening, and Writing parts on paper.
No computer or paper is used during the face-to-face interview.","If John chooses to take the IELTS exam on a computer, he will not use a computer for the Speaking part.
If John chooses to take the IELTS exam, he will complete it on paper.
The Reading part may be completed on a computer or paper in the IELTS exam.","F
U
T","PartOf(reading, iELTSExam) ∧ PartOf(listening, iELTSExam) ∧ PartOf(writing, iELTSExam) ∧ PartOf(speaking, iELTSExam)
TakenOn(iELTSExam, paper) ∨ TakenOn(iELTSExam, computer)
∀x (Take(x, speaking) → Face-To-FaceInterview(x))
∀x (Take(x, iELTSExam) ∧ TakenOn(iELTSExam, computer) → (Take(x, reading) ∧ Take(x, listening) ∧ Take(x, writing) ∧ Use(x, computer))
∀x (Take(x, iELTSExam) ∧ TakenOn(iELTSExam, paper) → (Take(x, reading) ∧ Take(x, listening) ∧ Take(x, writing) ∧ Use(x, paper))
∀x (Face-To-FaceInterview(x) → ¬(Use(x, paper) ∨ Use(x, computer)))","Take(john, iELTSExam) ∧ TakenOn(iELTSExam, computer) ∧ ¬ (Take(john, speaking) ∧ Use(john, computer))
Take(john, iELTSExam) → Use(john, paper)
∀x (Take(x, iELTSExam) ∧ Take(x, reading) → (Use(x, paper) ∨ Use(x, computer)))",,
165,"Belgium, France, and Germany are European countries.
Paris is the capital of France.
The Eiffel Tower is one of the main tourist attractions located in Paris.
Some people who live in Belgium speak French.
If John goes to Europe, he will see some tourist attractions.
John speaks French.","If John goes to Europe, he will see the Eiffel Tower.
The Eiffel Tower is located in the capital of France.
John lives in Belgium.","U
T
U","EuropeanCountry(belgium) ∧ EuropeanCountry(france) ∧ EuropeanCountry(germany)
CapitalOf(paris, france)
TouristAttraction(eiffelTower) ∧ LocatedIn(eiffelTower, paris)
∃x (LiveIn(x, belgium) → Speak(x, french))
∃x (GoTo(john, europe) → (See(john, x) ∧ TouristAttraction(x)))
Speak(john, french)","GoTo(john, europe) → See(john, eiffelTower)
∃x (CapitalOf(x, france) ∧ LocatedIn(eiffelTower, x))
LiveIn(john, belgium)",,
166,"Pets are allowed in some managed buildings.
A deposit is required to rent an apartment in a managed building.
The security deposit can be either equal to the monthly rent at a managed building or more.
Fluffy is Tom's cat.
Cats are pets.
The Olive Garden is a managed building.
The monthly rent at the Olive Garden is $2000.
$2000 is more than $1500.
Tom will rent an apartment in a managed building if he is allowed to move in with Fluffy, and the security deposit is no more than $1500.
If a managed building allows pets, then people are allowed to move in with a pet. ","Tom will rent an apartment in The Olive Garden. 
Tom is allowed to move into an apartment in The Olive Garden with Fluffy. 
The security deposit at the Olive Garden is either $2000 or more.  ","F
U
T","∃x (ManagedBuilding(x) ∧ AllowPet(x))
∀x ∀y (ManagedBuilding(x) ∧ RentApartmentIn(y, x) → DepositRequired(y))
∀x ∀y ∀z (SecurityDeposit(x) ∧ ManagedBuilding(z) ∧ MonthlyRentAt(y, z) → (MoreThan(x, y) ⊕ Equal(x, y))
Cat(fluffy) ∧ BelongTo(fluffy, tom)
∀x (Cat(x) → Pet(x))
ManagedBuilding(oliveGarden)
MonthlyRentAt(uSD2000, oliveGarden)
MoreThan(uSD2000, uSD1500)
∀x ∀y (ManagedBuilding(x) ∧ AllowedToMoveInWith(tom, x, fluffy) ∧ SecurityDeposit(y) ∧ ¬MoreThan(y, uSD1500) → RentApartmentIn(tom, x))
∀x ∀y ∀z (ManagedBuilding(x) ∧ AllowPet(x) ∧ Pet(z) → AllowedToMoveInWith(y, x, z))","RentApartmentIn(tom, oliveGarden)
AllowedToMoveInWith(tom, oliveGarden, fluffy)
∀x (SecurityDeposit(x, oliveGarden) → MoreThan(x, uSD2000) ⊕ Equal(x, uSD2000))",,
